date,VTSMX,VBLTX,IEMG,VIX,VTI,MUB,VBR,SPTR,BND,VEA,VTV
20050916,25.0711328763,7.4355306313,27.6247474169,11.22,51.0054250463,74.4464147988,50.7297555406,1862.107,54.3821799851,26.807858703,44.46542416
20050919,24.9365227669,7.4480063539,27.5933734846,12.14,50.8179969778,74.4464147988,50.4839718413,1851.74,54.4357057528,26.663859462,44.6748739947
20050920,24.7430207347,7.4542442151,27.7031822478,12.64,50.3181887951,74.4464147988,49.9104765429,1837.2,54.3821799851,26.7358590825,44.4576667587
20050921,24.4990399114,7.497909244,27.8443649433,13.79,49.8392059533,74.5836432131,49.2468605547,1820.491,54.4892315205,26.711859209,44.0232522868
20050922,24.5747580979,7.5041471053,27.7188692139,13.33,50.009973749,74.5836432131,49.4271019342,1827.536,54.5427572882,26.567859968,43.8060450509
20050923,24.6084106253,7.4604820764,27.4992516876,12.96,50.1099353856,74.4464147988,49.6728856335,1828.543,54.3821799851,26.4958603475,43.7750154458
20050926,24.6422133871,7.4168170475,27.6718083154,13.04,50.1724114084,74.3091863844,49.9596332827,1829.049,54.2751284497,26.7358590825,44.0834108579
20050927,24.6337626967,7.4168170475,27.7659301124,12.76,50.1724114084,74.2405721772,49.8449342231,1829.129,54.221602682,26.6398595885,43.9349818651
20050928,24.6506640776,7.4604820764,27.8757388756,12.63,50.218444983,74.3091863844,49.6565000536,1831.319,54.3286542174,26.903858197,44.0990349624
20050929,24.8872834105,7.4292927701,28.2365390974,12.24,50.6369320245,74.2405721772,50.3610799916,1847.62,54.221602682,27.1438569321,43.8724854471
20050930,24.9379875533,7.4349068452,28.4514505339,11.92,50.7834024891,74.4464147988,50.6478276409,1849.334,54.3179490638,27.1198570586,44.4037050002
20051003,24.9379875533,7.3910615647,28.420012467,12.46,50.8085117115,74.2398105024,50.7133699607,1846.166,54.2104951586,26.951857944,44.395892948
20051004,24.6844668394,7.4035887877,28.4042934335,13.2,50.1891508901,74.3086786012,50.1234890823,1827.959,54.2104951586,26.951857944,44.364644739
20051005,24.2788336972,7.4223796222,27.854127263,14.55,49.4149498633,74.3086786012,48.7962571059,1801.402,54.2642221112,26.663859462,43.7553046633
20051006,24.1520733403,7.4098523992,27.2096468918,14.96,49.2140760833,74.3086786012,48.5013166668,1794.04,54.2642221112,26.471860474,42.9428512291
20051007,24.2534816259,7.4223796222,27.4611514269,14.59,49.3898406408,74.3086786012,48.779871526,1800.709,54.2642221112,26.5438600945,43.1537766399
20051010,24.0675664357,7.4223796222,27.5240275607,15.55,48.958798988,74.3086786012,48.2719185474,1787.799,54.2642221112,26.423860727,43.0678440651
20051011,23.9915102215,7.4035887877,27.7283749954,15.63,48.7914041714,74.3086786012,47.7557727788,1784.224,54.2104951586,26.519860221,42.6538052958
20051012,23.8055950314,7.3534798958,27.2568039921,16.22,48.4273204453,74.1709424036,47.1085423706,1773.603,54.0493143009,26.3998608535,42.6538052958
20051013,23.7886936505,7.3096346153,26.7066378216,16.47,48.3896566115,74.033206206,47.1085423706,1772.355,53.9418603957,26.0638626244,42.2241424219
20051014,24.0168622929,7.3033710038,26.6594807212,14.87,48.9043956726,73.9643381072,47.8295078886,1787.007,53.8881334431,26.423860727,42.3100749967
20051017,24.0844678166,7.3033710038,26.7537949219,14.67,49.0341266555,74.033206206,47.9114357884,1792.332,53.9418603957,26.2318617389,42.6694294003
20051018,23.8309471028,7.3096346153,26.3608190858,15.33,48.5361270761,74.033206206,47.3952900198,1774.323,53.9418603957,25.8718636364,42.5756847733
20051019,24.1858761022,7.3158982268,26.156471651,13.5,49.2475550467,74.1020743048,48.1326411178,1801.014,53.9955873483,25.8718636364,42.0288411156
20051020,23.8309471028,7.3221618383,25.8263719487,16.11,48.5110178536,74.1020743048,47.3379404899,1774.022,53.9955873483,25.5598652808,42.5913088778
20051021,23.9154540074,7.3785343417,26.1407526176,16.13,48.7077067631,74.2398105024,47.8540862585,1776.728,54.1567682061,25.7278643954,42.0757134291
20051024,24.32953784,7.3409526728,26.4865713533,14.74,49.5572354574,74.1709424036,48.7962571059,1806.586,53.9955873483,25.9678631304,42.2632026832
20051025,24.2619323163,7.2971073923,26.3608190858,14.53,49.4358742153,74.033206206,48.5013166668,1802.303,53.8881334431,26.0878624979,42.7553619751
20051026,24.1520733403,7.2282076658,26.3922571527,14.59,49.2517399171,73.7577338108,48.1326411178,1794.558,53.6732256328,26.0638626244,42.6850535048
